Id,Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity,kmeans5_cluster,gaussian_cluster,agglomerative_cluster
142,2,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
143,1,1,1.0,6,30.0,1,1,1,2,1,3,1,2,1,6,1
144,2,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
145,3,1,2.0,1,60.0,4,1,1,2,1,1,1,3,0,2,0
146,3,1,2.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
147,2,1,1.0,1,30.0,1,1,1,2,2,1,1,2,0,6,0
148,2,1,1.0,2,30.0,1,1,1,1,1,3,1,3,0,0,0
149,2,1,2.0,6,30.0,1,9,1,1,1,0,1,3,4,4,0
150,2,1,1.0,6,30.0,1,2,2,1,1,3,1,3,2,0,0
151,2,1,2.0,6,30.0,1,1,1,2,2,0,1,3,1,6,1
152,2,1,1.0,6,60.0,1,9,2,2,1,0,1,3,4,6,0
153,1,1,1.0,6,30.0,1,1,2,1,1,0,1,3,2,0,0
154,2,1,1.0,6,40.0,1,1,1,2,1,0,1,3,1,6,1
155,3,1,1.0,6,60.0,6,1,1,2,1,8,1,2,3,1,0
156,2,2,1.0,6,40.0,6,1,1,2,1,0,1,3,3,1,0
157,1,1,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
158,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
159,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
160,2,1,1.0,2,20.0,1,1,1,1,1,0,1,3,0,0,0
163,3,1,2.0,6,30.0,1,1,1,1,1,0,1,2,2,4,0
164,1,1,2.0,6,30.0,1,8,2,1,1,3,1,2,4,4,0
165,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
166,2,1,1.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
167,1,1,1.0,6,30.0,1,1,1,1,2,0,1,3,2,0,0
168,3,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
169,2,1,1.0,3,30.0,1,1,1,1,1,9,1,2,0,0,0
170,3,1,1.0,2,30.0,4,1,1,1,1,3,1,3,0,3,0
171,1,1,1.0,6,30.0,1,2,2,1,1,0,1,2,2,0,0
172,3,1,1.0,6,30.0,1,5,2,1,2,8,1,3,2,0,0
173,2,1,1.0,6,30.0,4,1,2,2,1,0,1,2,3,1,0
174,1,1,2.0,6,40.0,1,1,1,2,1,0,1,3,1,6,1
175,2,2,2.0,6,20.0,1,1,1,1,1,0,1,3,2,4,0
176,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
177,2,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
178,3,1,1.0,6,30.0,4,1,1,1,2,0,1,3,3,5,0
179,2,1,2.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
180,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
181,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
182,1,1,2.0,6,30.0,1,2,5,1,1,0,1,3,2,4,0
183,2,1,2.0,6,30.0,1,9,1,1,1,0,1,3,4,4,0
184,2,1,1.0,6,30.0,1,1,1,2,1,0,1,3,1,6,1
185,3,1,2.0,6,30.0,4,1,1,1,1,9,1,3,3,5,0
186,1,1,2.0,6,30.0,1,1,1,2,1,0,1,3,1,6,1
187,2,1,1.0,9,30.0,1,1,1,2,1,3,1,3,1,6,1
188,2,1,1.0,9,30.0,1,1,1,2,1,0,1,2,1,6,1
189,4,1,2.0,6,30.0,4,1,1,1,1,3,1,3,3,5,0
190,1,1,1.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
191,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
192,2,1,2.0,6,40.0,1,1,1,2,1,3,1,3,1,6,1
193,3,1,1.0,6,30.0,4,1,2,1,1,3,1,3,3,5,0
194,2,1,1.0,6,30.0,1,1,1,2,1,9,1,2,2,6,1
195,3,1,1.0,6,30.0,1,1,1,1,1,9,1,3,2,0,0
196,2,1,1.0,9,30.0,1,1,2,1,1,0,1,3,2,0,0
197,3,1,1.0,6,60.0,6,8,4,2,1,9,1,3,4,1,0
198,2,1,2.0,6,30.0,1,1,2,1,1,3,1,3,2,4,0
200,2,1,1.0,6,30.0,1,1,1,1,1,3,1,2,2,0,0
201,1,1,1.0,6,30.0,1,9,1,2,1,0,1,3,4,6,0
202,2,1,2.0,6,30.0,1,1,2,2,1,0,1,2,1,6,1
203,1,1,2.0,9,30.0,1,1,1,1,1,0,1,3,2,4,0
204,2,1,1.0,9,30.0,1,1,1,1,1,9,1,3,2,0,0
205,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
206,2,1,1.0,6,60.0,1,4,1,2,1,0,1,1,1,6,1
207,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
208,2,1,1.0,6,30.0,1,3,3,1,1,0,1,3,2,0,0
209,1,1,2.0,6,30.0,1,1,1,1,1,0,1,2,2,4,0
210,1,1,1.0,6,60.0,1,1,1,2,1,0,1,1,1,6,1
211,3,1,1.0,6,30.0,4,9,1,1,2,0,1,3,4,1,0
212,3,1,2.0,6,30.0,4,2,2,1,1,0,1,3,3,1,0
213,2,1,1.0,6,30.0,1,1,1,1,1,3,1,2,2,0,0
214,2,1,1.0,6,30.0,1,1,1,2,2,0,1,3,1,6,1
215,2,1,2.0,6,20.0,1,1,1,1,1,0,1,3,2,4,0
216,2,2,2.0,6,30.0,4,1,2,1,2,0,1,3,3,5,0
217,2,1,1.0,2,30.0,1,1,2,1,2,3,1,3,0,0,0
218,3,1,1.0,6,60.0,1,1,2,2,1,3,1,3,1,6,1
219,2,1,1.0,6,20.0,1,1,2,1,1,6,1,3,2,0,0
220,1,1,1.0,6,30.0,1,1,2,1,1,3,1,3,2,0,0
221,3,1,2.0,6,30.0,1,1,1,2,1,0,1,2,1,6,1
222,2,1,1.0,6,30.0,1,1,1,1,1,3,1,1,2,0,0
223,1,1,1.0,6,30.0,1,1,1,1,2,3,1,2,2,0,0
224,3,1,1.0,6,30.0,1,1,1,2,1,0,1,2,1,6,1
225,3,1,1.0,3,30.0,4,1,1,1,1,0,1,2,3,3,0
226,1,1,2.0,6,40.0,1,1,1,1,1,0,1,1,2,4,0
227,2,1,1.0,3,40.0,1,1,1,1,2,7,1,3,0,0,0
228,2,2,1.0,6,60.0,6,1,2,2,1,0,1,2,1,1,0
229,2,1,1.0,9,30.0,1,8,1,1,1,0,1,3,4,0,0
230,1,1,1.0,3,40.0,1,1,1,1,1,0,1,2,0,0,0
231,3,1,1.0,9,60.0,1,1,1,2,1,3,1,3,1,6,1
232,2,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
233,2,1,1.0,1,30.0,1,1,1,1,1,1,1,3,0,0,0
234,1,2,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
235,2,1,1.0,6,30.0,1,1,1,1,1,7,1,2,2,0,0
236,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
237,2,1,1.0,7,30.0,1,1,1,1,1,0,1,2,2,0,0
239,2,1,1.0,6,60.0,1,1,1,2,1,0,1,1,1,6,1
240,3,1,1.0,6,60.0,6,5,2,2,1,0,1,3,3,1,0
241,1,2,1.0,6,30.0,1,2,2,1,1,3,1,3,2,0,0
242,1,1,1.0,6,30.0,1,2,2,1,1,3,1,3,2,0,0
243,1,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
244,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
245,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
246,2,2,1.0,6,30.0,1,1,1,1,2,6,1,2,2,0,0
247,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
248,2,4,2.0,6,30.0,1,2,2,1,1,3,1,3,2,4,0
250,1,2,1.0,6,30.0,1,1,1,1,1,6,1,2,2,0,0
251,3,1,1.0,6,30.0,1,2,2,1,1,0,1,3,2,0,0
252,2,2,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
253,2,1,1.0,2,30.0,1,1,1,1,1,6,1,3,0,0,0
254,3,1,1.0,2,30.0,4,1,1,1,1,0,1,3,0,3,0
255,3,1,1.0,3,30.0,1,1,1,1,1,0,1,3,0,0,0
256,3,2,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
257,2,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
259,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
260,1,1,1.0,6,30.0,1,1,1,1,1,3,1,2,2,0,0
261,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
262,1,1,1.0,2,30.0,1,1,1,1,2,0,1,3,0,0,0
263,2,1,2.0,6,30.0,1,1,1,1,1,3,1,3,2,4,0
264,2,1,2.0,1,30.0,1,1,1,1,1,1,1,3,0,4,0
265,1,1,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
266,1,1,2.0,6,30.0,1,1,1,1,2,6,1,2,2,4,0
267,2,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
268,1,1,1.0,6,30.0,1,1,1,1,1,7,1,3,2,0,0
269,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
270,3,1,2.0,2,30.0,4,1,1,1,1,6,1,3,0,3,0
271,3,1,1.0,6,30.0,4,1,1,1,1,3,1,3,3,5,0
272,3,1,2.0,6,30.0,1,1,1,1,1,3,1,2,2,4,0
273,2,1,2.0,6,30.0,1,1,1,1,1,3,1,3,2,4,0
274,3,1,1.0,6,30.0,4,1,1,1,1,3,1,3,3,5,0
275,3,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
276,1,1,1.0,3,30.0,1,1,1,1,1,3,1,3,0,0,0
277,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
278,3,2,2.0,6,30.0,4,1,1,1,1,6,1,3,3,5,0
279,1,2,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
280,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
281,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
282,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
284,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
285,3,1,2.0,6,30.0,4,1,1,1,1,3,1,3,3,5,0
286,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
287,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
288,4,1,1.0,3,30.0,4,1,1,1,1,8,1,2,3,3,0
289,2,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
290,3,1,1.0,6,30.0,1,1,1,1,2,0,1,2,2,0,0
291,1,1,2.0,1,20.0,1,1,2,1,1,1,1,3,0,4,0
292,3,1,2.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
293,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
294,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
295,1,2,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
296,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
297,1,2,2.0,6,30.0,1,1,1,1,1,3,1,3,2,4,0
298,3,1,1.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
299,1,1,1.0,6,40.0,1,1,1,2,2,0,1,3,1,6,1
300,3,1,2.0,6,30.0,4,1,1,2,1,3,1,1,3,1,0
301,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
302,1,1,2.0,9,20.0,1,1,1,1,1,0,1,2,2,4,0
303,3,1,1.0,6,60.0,1,1,1,2,1,9,1,2,1,6,1
304,2,1,2.0,6,30.0,1,1,1,2,1,0,1,3,1,6,1
305,2,1,1.0,6,30.0,4,5,2,1,1,6,1,3,3,1,0
306,3,1,1.0,6,30.0,1,1,2,1,1,0,1,2,2,0,0
307,1,1,1.0,6,30.0,1,1,1,1,1,3,1,2,2,0,0
308,1,1,1.0,6,30.0,1,1,1,1,2,7,1,3,2,0,0
309,3,2,1.0,6,30.0,4,4,1,1,1,3,1,3,3,1,0
310,2,2,1.0,3,30.0,1,1,1,1,1,9,1,3,0,0,0
311,2,1,1.0,3,30.0,1,1,1,1,2,9,1,3,0,0,0
312,1,1,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
313,3,1,2.0,6,30.0,4,1,1,1,1,3,1,3,3,5,0
314,2,1,1.0,6,30.0,1,1,1,2,2,7,1,2,2,6,1
315,2,1,2.0,6,30.0,1,1,1,1,2,0,1,3,2,4,0
316,2,1,2.0,6,30.0,1,1,1,1,1,8,1,2,2,4,0
317,3,1,1.0,1,70.0,1,1,1,2,1,1,1,2,1,6,1
318,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
319,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
320,3,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
321,2,1,2.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
322,1,1,1.0,6,30.0,1,2,2,1,1,1,1,3,2,0,0
323,1,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
324,2,1,1.0,6,60.0,1,1,1,2,1,9,1,2,1,6,1
325,2,1,2.0,6,30.0,1,1,1,2,2,0,1,3,1,6,1
326,2,1,1.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
327,1,1,1.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
328,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
329,1,1,1.0,6,40.0,1,1,1,1,1,0,1,2,2,0,0
330,2,1,2.0,6,30.0,1,1,1,1,2,3,1,3,2,4,0
331,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
332,1,1,1.0,6,30.0,1,1,1,1,1,9,1,3,2,0,0
333,2,1,2.0,3,40.0,1,1,1,1,1,0,1,2,0,4,0
334,2,2,2.0,6,30.0,1,1,1,1,1,3,1,2,2,4,0
335,1,2,1.0,6,30.0,1,1,1,1,1,7,1,3,2,0,0
336,1,1,1.0,6,50.0,4,5,2,2,1,0,1,2,1,1,0
337,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
338,3,1,1.0,6,30.0,1,1,2,2,1,0,1,2,1,6,1
339,3,1,2.0,9,30.0,7,9,1,1,1,0,1,1,4,2,0
340,2,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
341,2,1,2.0,6,30.0,1,1,1,1,1,0,1,2,2,4,0
342,3,1,1.0,6,30.0,1,1,1,2,1,0,1,3,1,6,1
343,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
344,2,1,2.0,6,40.0,1,1,2,2,1,0,1,2,1,6,1
345,1,1,2.0,6,30.0,1,1,1,1,2,0,1,3,2,4,0
346,2,2,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
347,2,1,2.0,6,30.0,1,1,1,1,2,0,1,3,2,4,0
348,1,1,2.0,3,40.0,1,1,1,1,1,0,1,2,0,4,0
349,1,1,1.0,6,30.0,1,8,1,1,1,3,1,3,4,0,0
350,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
351,2,1,1.0,6,40.0,1,1,1,1,1,0,1,3,2,0,0
352,1,1,1.0,6,30.0,1,2,2,1,1,3,1,3,2,0,0
353,2,1,2.0,2,30.0,1,1,1,1,1,6,1,3,0,4,0
354,2,1,2.0,6,60.0,1,1,2,2,2,3,1,3,1,6,1
355,2,1,2.0,6,30.0,1,1,1,1,1,6,1,3,2,4,0
356,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
357,2,1,2.0,6,30.0,1,1,1,1,1,0,1,2,2,4,0
358,2,1,2.0,6,30.0,1,1,1,2,2,0,1,3,1,6,1
